location_name,cause_name,measure,number_change_1990_2019,age_structure_contribution,age_structure_contribution_Q1,age_structure_contribution_Q3,population_size_contribution,population_size_contribution_Q1,population_size_contribution_Q3,all_other_reasons_contribution,all_other_reasons_contribution_Q1,all_other_reasons_contribution_Q3,number_attributed_to_age_structure,number_attributed_to_age_structure_Q1,number_attributed_to_age_structure_Q3,number_attributed_to_population_size,number_attributed_to_population_size_Q1,number_attributed_to_population_size_Q3,number_attributed_to_all_other_reasons,number_attributed_to_all_other_reasons_Q1,number_attributed_to_all_other_reasons_Q3
Armenia,Cardiovascular diseases,DALYs,19345.3,45.9,45,47.1,30,29.6,30.3,24,23.3,24.7,8882.3,8697.1,9117.1,5810.9,5729.9,5865.1,4652.1,4498.3,4783
Armenia,Chronic respiratory diseases,DALYs,-442.3,45.6,44.5,46.9,30.2,30.6,31.2,24.1,22.5,24.3,-201.9,-197,-207.4,-133.7,-135.3,-137.9,-106.8,-107.4,-99.5
Armenia,Digestive diseases,DALYs,12188.3,23.4,21.5,24.9,43.5,42.1,43.1,33.1,33.1,35.5,2847.5,2615.1,3031.2,5307.6,5128.1,5248.8,4033.2,4029.1,4324.4
Armenia,Neurological disorders,DALYs,6590.9,-38.3,-2.4,-240,92.8,256,66.7,45.6,35.7,84,-2526.9,-158.9,-15817.1,6113.1,16870.2,4398.3,3004.7,2351.6,5537.9
Armenia,Mental disorders,DALYs,988.3,-16.4,-669.1,833.7,92.3,-1020.9,847,24.1,-77.9,287.2,-162.4,-6612.3,8239,912.5,-10088.8,8370.4,238.1,-769.9,2838.1
Armenia,Substance use disorders,DALYs,-2183,83.6,122.9,66.1,9.8,-5.5,20.5,6.6,-17.4,13.3,-1824.6,-1443.7,-2682.7,-214.3,-448.3,120.6,-144,-291.1,379
Armenia,Diabetes and kidney diseases,DALYs,34680.5,28.6,27.8,29.3,43.4,43.3,44,28,27.4,28.2,9927.2,10169.1,9649.3,15043.3,15010,15265.4,9710,9501.5,9765.9
Armenia,Skin and subcutaneous diseases,DALYs,-3649.8,40.1,-41.4,119,80.6,-160.7,140.7,-20.7,-159.7,302.1,-1461.8,-4342.3,1510.1,-2941.8,-5135.3,5864.7,753.8,-11024.6,5827.8
Armenia,Musculoskeletal disorders,DALYs,12269.1,-95.5,-1069.9,1189.1,158.8,-1053,1053.8,36.7,-36.1,116.1,-11714.4,-131268.6,145889.7,19478.9,-129191.6,129288.4,4504.5,-4429,14249.3
Armenia,Injuries,DALYs,-95224,6.2,0.9,9.9,23.2,20,23.3,70.5,66.7,79,-5939.9,-869.2,-9474.6,-22137.5,-19087,-22192.9,-67146.5,-63556.4,-75267.8
Armenia,Transport injuries,DALYs,-18097.7,133.3,306.1,93.1,71.3,158.9,57.2,-104.6,-365,-50.3,-24119,-16844.2,-55395.6,-12911.8,-10351.2,-28750.1,18933,66048,9097.6
Armenia,Self-harm and interpersonal violence,DALYs,1291.7,28.9,27.6,30.1,44.7,45.2,46.3,26.4,24.7,26,373.5,357.2,388.2,576.8,584.1,598.6,341.4,319.3,335.9
Armenia,Unintentional injuries,DALYs,-78417.9,9.9,12.8,6.8,20.6,21.3,22.4,69.5,64.7,71.9,-7775.1,-10073,-5317.2,-16127.1,-16694.6,-17583.3,-54515.8,-50761.6,-56406.1
Armenia,Sense organ diseases,DALYs,6160.5,68.8,61.3,84.5,14.1,1.7,19,17.1,13.8,19.8,4240.1,3773.7,5204.6,869.1,103.2,1168.2,1051.3,1218.6,852.7
Azerbaijan,All causes,DALYs,-44066.7,33.6,32.2,35,14.4,10,15.6,51.9,49.3,57.8,-14821.7,-14195.4,-15424.3,-6357.5,-4399.9,-6896.3,-22887.5,-21746,-25471.4
Azerbaijan,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-872406.6,34.9,34.1,35.6,24.9,24.4,25.2,40.2,39.2,41.4,-304479.1,-297888.8,-310811.9,-216964.9,-213140.8,-219525.3,-350962.6,-342069.4,-361377.1
Azerbaijan,HIV/AIDS and sexually transmitted infections,DALYs,563.5,61.3,102.9,49.7,-14.8,-7,-70.5,53.5,57.3,67.6,345.6,280.1,579.6,-83.6,-39.6,-397.1,301.5,323,381
Azerbaijan,Respiratory infections and tuberculosis,DALYs,-596628.8,33.6,33,34.1,25.9,25.3,26.1,40.5,39.7,41.6,-200317.7,-197142.6,-203582,-154390.5,-151088.2,-155911.9,-241920.6,-237134.9,-248398
Azerbaijan,Enteric infections,DALYs,-122806,33.1,32.6,33.5,27.3,26.5,27.8,39.6,38.8,40.9,-40694.4,-40090,-41094.4,-33466.5,-32508,-34123.5,-48645.2,-47588.1,-50208
Azerbaijan,Neglected tropical diseases and malaria,DALYs,-1439.7,27.8,27,28.4,-0.2,-0.1,-1.8,72.3,71.7,74.8,-400.7,-389.1,-409,2.6,1.4,25.9,-1041.5,-1032.1,-1076.5
Azerbaijan,Maternal and neonatal disorders,DALYs,-100141.3,48.9,44.3,58,14.3,16.2,9.5,36.7,32.5,39.5,-49009.3,-44380.2,-58103.8,-14337.9,-16218.7,-9464.8,-36794.2,-32572.7,-39542.5
Azerbaijan,Nutritional deficiencies,DALYs,-11264,32,31.3,32.5,16.7,15,16.7,51.3,50.8,53.7,-3606.8,-3528.1,-3659.9,-1880.7,-1688.4,-1884.2,-5776.5,-5719.9,-6047.4
Azerbaijan,Non-communicable diseases,DALYs,891072.9,36.8,34.5,39,53,52.2,59.6,10.2,5.9,8.8,327887.1,307133.7,347771.9,472593.7,464697.9,531061.2,90592.1,52878,78603.1
Azerbaijan,Neoplasms,DALYs,133064.6,43,41.8,44.3,46.4,47.4,49.3,10.6,8.3,8.9,57246.5,55614.4,58947.9,61765.5,63131.8,65544.8,14052.6,10984.9,11905.3
Azerbaijan,Cardiovascular diseases,DALYs,396510.2,36.8,35.2,38.4,40.4,41.2,41.9,22.7,20.4,22.8,146078.1,139624.5,152441.1,160378.7,163371.1,166328.6,90053.4,80698.1,90557.1
Azerbaijan,Chronic respiratory diseases,DALYs,6445.6,40.4,39.7,41,45.5,44.2,45.1,14.1,14.8,15.2,2603.6,2560.5,2644.4,2933.8,2848.9,2906.3,908.2,952.3,978.9
Azerbaijan,Digestive diseases,DALYs,48125.7,43.1,41.5,45.4,51.1,51.4,58.5,5.8,-3.9,7.1,20742.5,19973.3,21855.4,24611.5,24725.3,28161.1,2771.7,-1890.8,3427.1
Azerbaijan,Neurological disorders,DALYs,36503.3,3.8,-20.7,13.8,102.7,156.1,82.7,-6.5,-35.4,3.5,1399.2,-7540.3,5039.9,37489.7,30195.2,56973.6,-2385.6,-12930,1268.3
Azerbaijan,Mental disorders,DALYs,52118.8,27.9,24.1,30.4,62,69.2,84.9,10.2,-9.1,0.5,14534.5,12562.2,15819,32292.6,36045.7,44273.8,5291.8,-4717.2,254.1
Azerbaijan,Substance use disorders,DALYs,21139.4,28.6,24.4,32.2,69.2,61.2,62.4,2.2,14.4,5.5,6043.5,5158.2,6798.5,14638.1,12939.3,13182.9,457.8,1158.1,3041.9
Azerbaijan,Diabetes and kidney diseases,DALYs,105630,42.3,39.1,47.4,35.2,32.9,36.2,22.5,19.8,24.7,44673.7,41263.7,50024,37152.8,34735.5,38289.4,23803.5,20870.6,26076.9
Azerbaijan,Skin and subcutaneous diseases,DALYs,10132.2,-23.6,-4.6,-75.2,116.1,204.9,85,7.6,-29.7,19.6,-2392.2,-465,-7618.7,11758.5,20761.4,8607.6,765.9,-3010.5,1989.6
Azerbaijan,Musculoskeletal disorders,DALYs,69457.5,41.9,39,45.4,58.2,60.2,60.2,-0.1,-5.6,0.8,29109,27097.5,31564.8,40421.5,41788.9,41812.1,-73,-3919.5,571.1
Azerbaijan,Injuries,DALYs,-62732.9,16.8,10.6,20.4,-30.5,-21,-51.3,113.7,100.6,140.6,-10523,-12773.9,-6659.9,19125.5,13172.7,32151.5,-71335.5,-63131.8,-88224.5
Azerbaijan,Transport injuries,DALYs,-18880,55.6,51.6,61.6,74.3,68.2,88.3,-29.9,-19.8,-49.9,-10488.1,-11626.8,-9750.7,-14030.2,-12868.8,-16676.4,5638.3,3739.6,9423.3
Azerbaijan,Self-harm and interpersonal violence,DALYs,-16251.1,-38.5,-372,232.4,-172.3,-945.5,501.6,310.8,-634,1417.4,6262.9,-37774.8,60446.7,27994.4,-81511.6,153649.5,-50508.5,-230347.4,103035.3
Azerbaijan,Unintentional injuries,DALYs,-27601.8,30.2,29.4,31,9.1,4.5,7.8,60.7,61.3,66,-8331.6,-8124,-8548.3,-2516.6,-1247.1,-2145.9,-16753.7,-16907.6,-18230.7
Azerbaijan,Sense organ diseases,DALYs,26617.3,40.2,37.3,42.7,58.2,57.4,58.3,1.6,0,4.4,10687.6,11362,9927.2,15496.2,15268.6,15523.5,433.5,-13.3,1166.6
Georgia,All causes,DALYs,-729369.1,195.6,-854.3,1405.5,-93.2,-1065.5,711.8,-2.4,-240,242.5,-1426633.3,-10251497.8,6231003.8,679900.7,-5191347.7,7771549.1,17363.4,-1769025.2,1750579.5
Georgia,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-278864.3,26.2,22.1,28.2,32.5,32.1,32.5,41.2,39.3,45.8,-73126,-61588.9,-78690.9,-90728.1,-89649.5,-90537.1,-115010.2,-109636.3,-127625.9
Georgia,HIV/AIDS and sexually transmitted infections,DALYs,1039,68.6,-62.4,234.6,166.7,-289.6,711.5,-135.3,-846.2,452,712.6,-648.2,2438,1732.4,-3008.6,7392.9,-1406.1,-8791.9,4695.9
Georgia,Respiratory infections and tuberculosis,DALYs,-133249,25.8,22.7,27.6,31.1,30.9,31.7,43.1,40.7,46.4,-34341.1,-30242.8,-36829.8,-41416,-41168.7,-42194.7,-57492,-54224.5,-61837.5
Georgia,Enteric infections,DALYs,-13999.8,27.1,23.4,28.9,34.1,33.9,33.9,38.8,37.3,42.6,-3790.8,-3282.1,-4039.1,-4776.8,-4739.4,-4749.7,-5432.3,-5221.3,-5968
Georgia,Neglected tropical diseases and malaria,DALYs,-1577.6,140.3,344.8,95.3,-68.9,-22.6,-261.5,28.6,16.8,27.3,-2213.9,-1504,-5438.9,1086.8,356.8,4126,-450.5,-264.6,-430.4
Georgia,Maternal and neonatal disorders,DALYs,-115600,27.4,23,29.7,31.7,31.7,31.9,40.9,38.4,45.3,-31678.6,-26618.5,-34364.3,-36614.2,-36645.7,-36830.9,-47307.1,-44404.8,-52335.8
Georgia,Nutritional deficiencies,DALYs,-9842.8,6.3,1.8,9.7,62.2,60.8,65,31.6,29.4,33.2,-615.9,-177.9,-956.9,-6120.7,-5989.3,-6394.6,-3106.2,-2896.6,-3270.3
Georgia,Non-communicable diseases,DALYs,-340547.6,69.1,62,80.1,0.8,-9.9,10.4,30.1,27.7,29.8,-235379.2,-211030.6,-272881.1,-2809.9,-35338.5,33786.7,-102358.5,-101453.3,-94178.5
Georgia,Neoplasms,DALYs,-32028.8,-0.3,-9.7,5.9,75.5,72,87.1,24.8,22.1,22.6,81.7,-1902.1,3120.1,-24181.6,-23050.3,-27912.4,-7928.9,-7076.4,-7236.5
Georgia,Cardiovascular diseases,DALYs,-233454.6,50.2,48.4,52.4,24.3,23.8,25.7,25.4,23.8,26,-117282.1,-112975.3,-122435.6,-56771.6,-55553.6,-59895.8,-59400.9,-55465.4,-60583.5
Georgia,Chronic respiratory diseases,DALYs,-3413.9,154,-268,580.7,-92.8,-596.4,387.2,38.8,-19.2,115.7,-5257.5,-19826.2,9149.8,3168.8,-13217.5,20361.9,-1325.2,-3949.6,653.8
Georgia,Digestive diseases,DALYs,-9693.9,-32.4,-123.2,-9,124.4,259,98.4,8,-35.8,10.6,3136.9,11941.9,872.2,-12055.3,-25104.6,-9538.3,-775.5,-1027.8,3468.7
Georgia,Neurological disorders,DALYs,-8618,-17.1,-0.2,-66.9,90.3,137.3,71.4,26.9,28.8,29.6,1474.6,17.7,5763.6,-7778.7,-11832,-6156.7,-2313.9,-2479.1,-2549.6
Georgia,Mental disorders,DALYs,-23673.2,-52.5,-19.3,-218.1,157.6,124.6,431.1,-5.2,-112.9,-5.3,12422.8,4573.8,51640.7,-37315.6,-102044.2,-29492,1219.5,1245,26730.3
Georgia,Substance use disorders,DALYs,-10708.2,-76,-27.9,-439,172,103.7,608.8,4,-69.8,24.1,8136.3,2982.3,47008.2,-18413.3,-11105.6,-65191.7,-431.2,-2584.9,7475.3
Georgia,Diabetes and kidney diseases,DALYs,33783.6,30.5,30,30.9,49,48.5,49.8,20.6,19.4,21.6,10295.3,10122.8,10429.1,16545,16373.4,16811.8,6943.4,6542.7,7287.5
Georgia,Skin and subcutaneous diseases,DALYs,-10710,7.3,-2.9,12.6,93.9,127,76.9,-1.2,-24.1,10.6,-784.8,-1345.9,312.2,-10054.1,-13604.3,-8233.8,128.9,-1130.3,2582
Georgia,Musculoskeletal disorders,DALYs,-12229.3,-163,-1572.4,1672.4,304.2,-2018.8,2003,-41.2,-330.6,446.4,19928,-204522.4,192294.7,-37201.4,-244958.4,246889.7,5044,-54596.6,40434.4
Georgia,Injuries,DALYs,-109957.2,14.4,12.3,16,50,50,51.6,35.6,33.9,36.1,-15861.6,-13577,-17620.3,-54992.2,-55026.7,-56694.8,-39103.3,-37310.2,-39685.5
Georgia,Transport injuries,DALYs,-36976.6,-3.3,-15.7,3,63.4,56.6,73.6,40,40.4,42.1,1226.1,-1124.3,5798.9,-23426,-20932.1,-27208,-14776.7,-14920.2,-15567.5
Georgia,Self-harm and interpersonal violence,DALYs,-11048.2,15.5,12.7,17.3,68.1,63.7,71.8,16.4,15.5,19,-1714.6,-1398.5,-1910.3,-7521,-7042.2,-7936.9,-1812.6,-1712.8,-2095.6
Georgia,Unintentional injuries,DALYs,-61932.4,18.1,17,19,45.5,45.4,46.8,36.4,35.7,36.2,-11213.5,-10505.4,-11740.1,-28161.1,-28097,-29002.7,-22557.8,-22095.2,-22424.3
Georgia,Sense organ diseases,DALYs,-4558.2,181.1,-1043.6,950,-109,-878,1107.7,27.8,28.1,35.8,-8257.1,-43300.3,47566.8,4968.1,-50491.9,40021.2,-1269.2,-1279,-1633.1
Kazakhstan,All causes,DALYs,-306834,-34.6,-360.1,223,-63.3,-400.8,254.9,197.9,-377.9,860.9,106267.7,-684208.1,1104827.1,194095.4,-782051.2,1229830.6,-607197.1,-2641491.7,1159425.3
Kazakhstan,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-713206.9,24.4,17.1,27.6,17,20.7,8.5,58.6,51.8,74.4,-173938.7,-121670.5,-196536.7,-121494.4,-147356,-60901.3,-417773.8,-369314.2,-530635.1
Kazakhstan,HIV/AIDS and sexually transmitted infections,DALYs,10950.6,99,-702.9,880.7,87.4,-443.9,669.6,-86.4,-1450.3,1246.8,10836.5,-76974.8,96441.7,9575.8,-48609.5,73321.8,-9461.7,-158812.8,136534.9
Kazakhstan,Respiratory infections and tuberculosis,DALYs,-379717.6,23.5,17.3,26.6,18,12.1,21.7,58.5,51.7,70.6,-89293.6,-101113.8,-65608,-68425.1,-45982.6,-82212.1,-221998.8,-196391.7,-268127.1
Kazakhstan,Enteric infections,DALYs,-133156.2,24.6,17.4,27.6,19.5,11.3,23.4,55.9,49,71.3,-32762.8,-23194.3,-36763.2,-25997.5,-15027.8,-31119,-74395.9,-65273.9,-94934.1
Kazakhstan,Neglected tropical diseases and malaria,DALYs,-5275.4,-32.1,-12.9,-85.8,-74.8,-125.8,-46.3,206.9,159.2,311.6,1694.3,4528.4,680.3,3944.7,2444.4,6634.1,-10914.4,-16438,-8400.1
Kazakhstan,Maternal and neonatal disorders,DALYs,-143525.8,28.9,19.1,32.7,16.7,20,3.5,54.5,47.4,77.4,-41422.6,-27381.5,-46862.1,-23908,-28659.5,-5059.6,-78195.1,-111084.6,-68004.1
Kazakhstan,Nutritional deficiencies,DALYs,-24056.6,-37.2,-207.1,-5.4,-104.9,-387,-50.2,242.1,155.5,694.2,8953.5,1288.2,49825.6,25228.8,12072.3,93107.4,-58238.9,-166989.6,-37417.2
Kazakhstan,Non-communicable diseases,DALYs,634917.9,53.4,50.1,57.9,41.3,44.3,52.3,5.3,-10.2,5.6,338932.6,318026.2,367575.6,262261.7,281140.3,331795.1,33723.6,-64452.8,35751.5
Kazakhstan,Neoplasms,DALYs,-87921.5,51.4,49.4,53.9,47,44.3,48.3,1.6,-2.2,6.3,-45198.7,-43402.9,-47385.2,-41303.7,-38950.6,-42473,-1419.1,-5568,1936.7
Kazakhstan,Cardiovascular diseases,DALYs,164193.4,51.3,49.2,53.8,45.1,42.9,47,3.6,3.4,3.8,84222.6,80722.3,88270.8,74046.4,70398.3,77219.6,5924.4,5524.3,6251.5
Kazakhstan,Chronic respiratory diseases,DALYs,52615.4,52.3,47.5,58.7,39.5,39.2,43.5,8.2,2.1,9,27492.9,24991.6,30871.2,20804.3,20624.5,22897.6,4318.2,1119.7,4726.2
Kazakhstan,Digestive diseases,DALYs,150415,40.3,37.1,44.7,50.5,49.4,51.4,9.1,13.5,3.9,60639,55774.8,67254.7,76020,74303.1,77332.9,13756,20337.1,5827.4
Kazakhstan,Neurological disorders,DALYs,38530,12.3,-72.1,33.4,79.2,546.6,97.7,8.5,-31.1,-374.6,4742.4,-27770.3,12859.9,30527.8,210617,37645.2,3259.7,-11975.2,-144316.8
Kazakhstan,Mental disorders,DALYs,39741.4,31.4,26.1,35,63.9,54.7,58.7,4.7,19.2,6.3,12472.9,10378.4,13895.5,25405.9,21739.4,23347.8,1862.6,2498.2,7623.6
Kazakhstan,Substance use disorders,DALYs,80986.1,78.7,214,52.5,68.4,167.1,50.3,-47.1,-2.8,-281.1,63743.4,173341.4,42498.2,55415.5,135302.7,40733.6,-38172.8,-2245.7,-227658
Kazakhstan,Diabetes and kidney diseases,DALYs,114649,39.4,36.6,43.5,43.7,43.1,45.3,16.9,13.5,18.1,45162.6,41954,49830.1,50126.5,49397.8,51889.9,19360,15421.1,20805.1
Kazakhstan,Skin and subcutaneous diseases,DALYs,6788.2,-9.4,-38.8,4.5,80.6,153.3,77,28.8,-14.4,18.5,-639.7,-2637.1,306.3,5473.3,10404.3,5224.6,1954.6,-979.1,1257.2
Kazakhstan,Musculoskeletal disorders,DALYs,67260.8,49.8,44.6,57,37.6,45.7,52.5,12.6,-9.5,9.7,33508.2,30003.2,38339.9,25295.1,30751.7,35298.6,8457.6,-6377.6,6506
Kazakhstan,Injuries,DALYs,-228545,11.5,14.9,6.4,0,-10.3,0.4,88.5,103.9,84.7,-26308,-14723.1,-34098.8,-3.6,-827.7,23540.3,-202233.4,-193618.4,-237362.2
Kazakhstan,Transport injuries,DALYs,-81252,4.5,-4.8,10,-8.4,-22.8,-6.2,103.9,127.5,96.2,-3667.2,-8155.2,3872.9,6802.7,18489.9,5055.4,-84387.4,-103614.8,-78152.2
Kazakhstan,Self-harm and interpersonal violence,DALYs,7113.5,-1.8,-105.2,22.1,-58.7,-265.6,-43.9,160.5,121.8,470.8,-128.1,-7482,1572.9,-4174.5,-18893.9,-3120.5,11416.1,33489.4,8661.1
Kazakhstan,Unintentional injuries,DALYs,-154406.5,14.9,10.9,17.6,2.8,0,4.9,82.3,77.6,89.1,-22976.7,-16780.2,-27103.9,-4342.5,-29.1,-7558.2,-127087.3,-119744.3,-137597.1
Kazakhstan,Sense organ diseases,DALYs,21712.9,53.6,50.1,57.8,44.8,44.4,46.1,1.6,-2.2,3.8,11630.3,10886.8,12560.5,9736.8,10011,9631.3,345.8,-478.9,815.1
Kyrgyzstan,All causes,DALYs,-165667.9,30.2,23.9,33.7,-39.7,-18.7,-72.8,109.5,148.9,85,-50081,-39629.4,-55754.2,65756.5,120648.4,30939.5,-181343.4,-140853.2,-246687
Kyrgyzstan,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-348748.8,31,28.1,32.8,15.3,10.1,18.8,53.7,48.3,61.9,-108059.5,-114523,-97842.6,-53333.6,-35053,-65629.3,-187355.8,-168596.6,-215853.3
Kyrgyzstan,HIV/AIDS and sexually transmitted infections,DALYs,7348.9,68.3,58.3,93.2,37.1,35.7,35.8,-5.4,-28.9,5.9,5017.7,4284.9,6847.4,2730.1,2623.3,2630.8,-398.9,-2121.8,433.2
Kyrgyzstan,Respiratory infections and tuberculosis,DALYs,-225697.2,28.9,26.2,30.5,17.6,13.5,20.8,53.5,48.7,60.4,-65329.1,-59102.6,-68750.3,-39628,-30372.8,-46955.8,-120740.2,-109991.1,-136221.8
Kyrgyzstan,Enteric infections,DALYs,-42094.3,29.9,27.4,31.3,19.4,15.3,21.8,50.7,46.8,57.3,-12594.6,-11532.6,-13191.1,-8151,-6453.7,-9186.3,-21348.7,-19716.8,-24108
Kyrgyzstan,Neglected tropical diseases and malaria,DALYs,899.3,-77.3,-16.1,-417.7,460.8,1624.6,222.2,-283.5,-106.1,-1106.9,-695.1,-144.9,-3756.6,4143.7,14610.1,1998.2,-2549.3,-954,-9954.3
Kyrgyzstan,Maternal and neonatal disorders,DALYs,-68621.7,36.6,32.5,39.4,10.5,14.3,2.2,52.9,46.2,65.3,-25095.7,-22310.1,-27064.9,-7227.2,-1485.8,-9837.9,-36298.9,-31718.9,-44825.9
Kyrgyzstan,Nutritional deficiencies,DALYs,1263.7,7.9,-59.9,23.9,327.8,200.7,973.4,-235.7,-124.6,-813.6,99.3,-756.3,302,4142.8,12301.1,2535.7,-2978.4,-10281.1,-1574
Kyrgyzstan,Non-communicable diseases,DALYs,252341.2,26.5,20.2,31,81.9,92.3,98.4,-8.4,-18.7,-23.3,66908.4,51084.2,78138,206735.3,232956.8,248359.9,-21302.5,-47103,-58753.6
Kyrgyzstan,Neoplasms,DALYs,-3465.8,43.9,42.5,45.3,64.9,102.9,75.2,-8.8,-20.4,-45.4,-1521.7,-1471.5,-1568.6,-2249.3,-2605.2,-3567.5,305.2,1573.2,708
Kyrgyzstan,Cardiovascular diseases,DALYs,85576.2,26.3,22.1,30.5,64,59.8,77.8,9.7,0.1,9.6,22476.5,18879.7,26118.7,54774.6,51217,66620.7,8325.1,75.9,8240.6
Kyrgyzstan,Chronic respiratory diseases,DALYs,-23101.3,80.1,-227.6,396.1,206.9,-1094.7,1390.5,-187,-1686.6,1422.3,-18500.5,-91497.1,52571.3,-47805.8,-321233.5,252898.8,43205,-328571.4,389629.3
Kyrgyzstan,Digestive diseases,DALYs,45806,91.6,-676.3,967.4,-169.8,-2184.1,1835.7,178.2,-1059.4,1316.6,41949.6,-309798.3,443146.5,-77767.3,-1000445.5,840860.4,81623.7,-485256,603105.1
Kyrgyzstan,Neurological disorders,DALYs,23036.9,4,-3,9.3,95.9,122.8,86.1,0.1,-19.8,4.5,926.2,-686.4,2151.2,22096.5,19844.1,28287.8,14.2,-4564.5,1041.6
Kyrgyzstan,Mental disorders,DALYs,29509,18.7,13.9,23,80.5,77,85.3,0.7,0,0.8,5532.9,4101.3,6797.6,23761.1,22714.7,25164.9,215,-3.3,242.8
Kyrgyzstan,Substance use disorders,DALYs,13437.2,38,34.8,40.3,67.9,64.8,70.9,-5.9,-5.1,-5.6,5099.5,4673.4,5410.6,9124.8,8711.7,9521.4,-787,-685.1,-757.6
Kyrgyzstan,Diabetes and kidney diseases,DALYs,14823.4,27.8,23.7,32,89.3,75.2,84,-17.1,-7.2,-7.8,4120.7,3518.6,4749.8,13239.6,11143.5,12454.4,-2536.9,-1069.9,-1149.6
Kyrgyzstan,Skin and subcutaneous diseases,DALYs,10145.5,-8.4,-1.1,-15.8,102.3,122,86.3,6,-6.2,14.8,-847.4,-112.3,-1607.7,10382.2,12379,8755,610.7,-625.8,1502.8
Kyrgyzstan,Musculoskeletal disorders,DALYs,30914.1,19.9,14.3,24.8,74.9,65,79.3,5.2,10.1,6.4,6164.1,4413.6,7675.1,23156.3,20109.1,24524.9,1593.7,1975.6,3129.9
Kyrgyzstan,Injuries,DALYs,-69260.3,-46.4,-325.3,-4.6,-265.3,-1121.9,-117.7,411.7,1547.3,222.3,32144.4,225337,3192.7,183770.1,777041.8,81506.9,-285174.8,-1071639.1,-153960
Kyrgyzstan,Transport injuries,DALYs,-3975.4,88.2,197.7,65.9,274.8,163.1,849,-263,-129.1,-946.7,-3506.4,-2621.6,-7859.1,-10924.7,-33751.7,-6485.6,10455.7,37635.4,5131.8
Kyrgyzstan,Self-harm and interpersonal violence,DALYs,-13873.3,51.3,48.6,55.4,84.1,67.5,91,-35.4,-16.1,-46.4,-7114.4,-6747.6,-7681,-11663.5,-12627.4,-9363.3,4904.6,2237.6,6435.1
Kyrgyzstan,Unintentional injuries,DALYs,-51411.6,17.2,11.2,20.9,-20.8,-13.7,-37,103.6,125.8,92.8,-8843.6,-10729.8,-5767,10686.1,19012.9,7022.2,-53254.1,-47704,-64657.5
Kyrgyzstan,Sense organ diseases,DALYs,10839.7,8,-1.6,15.6,101.3,116.6,91.3,-9.2,-14.9,-6.9,864,-176.2,1688.8,10977.5,12636.2,9897.8,-1001.8,-1620.3,-746.9
